,Category,Class,Type,Subtype,Short_Name,Long_Name,UUID
1335,In Situ/Laboratory Instruments,Radiation Sensors,Ceptometers,,SUNFLECK CEPTOMETER,,a13ced7a-71c9-4b51-b2df-635e45ee9437
1336,In Situ/Laboratory Instruments,Radiation Sensors,Ceptometers,,,,aa8f1fab-12ed-4952-bb51-d3ea1365d176
1337,In Situ/Laboratory Instruments,Radiation Sensors,,,CIN,Cloud Integrating Nephelometer,451577a2-89bd-4323-aaa1-903203614633
1338,In Situ/Laboratory Instruments,Radiation Sensors,,,LICOR INTEGRATING SPHERE,,5e2e00d5-012c-4830-94d1-214883fd4ba5
1339,In Situ/Laboratory Instruments,Radiation Sensors,,,LICOR LEAF AREA METER,,763a171a-bdb9-4276-8b76-d4937ce0ad50
1340,In Situ/Laboratory Instruments,Radiation Sensors,,,LICOR PLANT CANOPY ANALYZER,,febb31dd-ce43-4f26-97b4-7be3f2c7f30d
1341,In Situ/Laboratory Instruments,Radiation Sensors,,,LICOR QUANTUM SENSOR,,d57891ac-8d42-4397-856b-fbbb887c26ac
1342,In Situ/Laboratory Instruments,Radiation Sensors,,,SOLAR SIMULATORS,,b9e375ed-0fae-4151-b10a-b80ee4ff27cb
1343,In Situ/Laboratory Instruments,Radiation Sensors,,,,,83c39fd7-c4bd-49e9-959f-12235e7f895a
